"match_id","leagueid","region","duration","first_blood_time","dire_score","radiant_score","radiant_team_id","dire_team_id","radiant_win","exp_15min","teamfight_duration","Tteamfight_deaths","teamfight_frequency","Strength_picked_r","Strength_banned_r","Strength_picked_d","Strength_banned_d","Intelligence_picked_r","Intelligence_banned_r","Intelligence_picked_d","Intelligence_banned_d","Universal_picked_r","Universal_banned_r","Universal_picked_d","Universal_banned_d"
7808970570,16690,5,1042,20,7,30,9461881,9455945,"True",8073,238,19,5,2,0,3,1,1,0,1,0,2,4,0,2
7977493650,17233,3,1779,253,32,27,8629324,8629317,"False",5203,337,34,8,2,1,2,0,2,0,1,0,0,1,1,7
7712821398,16312,3,1985,10,44,29,9332069,9330489,"False",1329,408,38,10,2,1,2,4,1,3,1,1,0,1,1,2
7869246016,16901,25,3061,134,18,34,7554697,8261500,"True",523,341,24,8,1,2,1,1,1,0,1,0,3,2,2,1
7782400355,16705,5,2775,121,46,23,9297546,9449931,"False",-4626,393,32,8,1,3,0,2,0,1,1,1,2,2,3,2
7589085841,16059,3,1914,382,32,15,8629324,8629317,"False",147,232,20,5,2,0,1,3,1,3,1,0,1,2,3,4
7604176758,16109,3,1748,64,27,40,9005364,8849833,"True",-2493,369,31,9,1,0,1,0,2,0,1,0,0,4,1,1
7897303262,17008,38,2734,15,32,21,9499095,9248240,"False",-1041,331,30,8,1,1,1,1,1,2,1,1,2,2,2,1
7908425081,15901,8,1826,235,48,26,9505264,9088071,"False",-6062,571,51,10,2,0,2,1,1,3,0,3,2,3,3,1
8100118524,17233,3,1321,87,25,11,8629324,2443375,"False",-5048,153,17,4,1,0,1,5,1,0,2,0,1,6,2,0
7828415169,16059,3,2740,235,53,50,8629324,2443375,"False",-634,639,51,14,1,2,0,2,3,3,2,0,0,1,3,3
7930579728,16059,3,1508,6,34,22,8629318,9426115,"False",-4336,289,36,6,2,0,3,0,2,0,1,0,0,3,0,7
7800066279,15901,8,1939,94,30,42,9433231,9225431,"True",1778,472,46,11,3,1,1,1,1,1,0,2,0,4,2,2
8042277580,17381,3,2645,63,40,24,8376696,5014799,"False",-4000,483,38,10,0,3,1,1,2,2,1,1,1,1,2,1
7778161524,16814,18,1186,108,29,2,9449076,9448805,"False",-12633,171,16,4,1,1,1,4,1,3,1,2,2,2,1,1
7629175264,16201,3,3775,122,36,24,8255888,9247354,"False",281,395,33,8,1,2,2,3,1,1,1,1,2,3,2,2
7931697985,16059,3,2190,64,43,38,8629317,8629324,"False",3284,523,43,12,2,0,2,0,1,0,2,0,1,7,0,4
7921748820,17059,5,2050,228,22,19,8944230,9409659,"False",-3643,129,10,3,2,1,2,1,1,4,0,2,1,1,1,3
7633066344,15819,3,2023,39,36,32,8893837,9332069,"False",-1746,465,43,9,2,2,1,3,0,2,0,2,1,1,2,2
7530506173,15716,3,1882,294,27,24,2443375,8629317,"",4194,418,38,10,1,0,1,0,0,0,3,0,3,5,1,3
7789443173,16757,5,1259,35,40,30,9426016,9302584,"False",-2325,334,32,7,1,0,2,3,1,3,2,0,3,1,1,1
7954689384,15901,8,1805,3,41,21,9524130,9461271,"False",-4947,301,31,6,3,1,1,1,1,4,0,3,0,1,3,3
7817405352,15898,3,1802,183,15,32,9303665,8588969,"True",4223,348,28,8,1,3,2,2,0,1,1,1,3,0,1,3
7794883980,16312,3,1829,239,21,35,9330485,8893840,"True",-216,338,31,7,2,3,2,2,1,2,0,2,2,2,2,1
7918078919,17056,3,1852,6,28,15,9017006,9449748,"False",-6789,196,21,4,1,2,1,2,1,4,1,1,3,0,2,2
7611403067,16109,3,2108,223,34,34,8849850,8849990,"False",2551,368,36,8,2,0,1,0,2,0,1,0,0,3,2,0
7883510085,16059,3,1469,3,21,28,8629005,8629315,"True",992,344,29,7,2,0,0,1,1,0,2,1,1,0,2,4
7628262190,15890,5,1610,4,23,14,9366478,9098294,"False",1848,185,14,4,2,3,0,5,1,2,2,0,1,1,2,0
7971821795,16635,3,1726,110,36,15,8849990,8849837,"False",2710,274,25,6,2,2,2,0,2,1,1,0,0,2,1,7
